P(boon,|"'a) = 100%	
P(the|triumphed;) = 100%	
P(over|triumphing) = 100%	
P(of|triumphs) = 67%	
P(were|triumphs) = 33%	
P(matters,|trivial) = 100%	
P(the|trod) = 50%	
P(under|trod) = 50%	
P(as|trod,) = 100%	
P(out|trodden) = 50%	
P(in|trodden) = 50%	
P(and|troop) = 20%	
P(found|troop) = 20%	
P(of|troop) = 40%	
P(he|troop) = 20%	
P(and|troops) = 3%	
P(helped|troops) = 3%	
P(set|troops) = 3%	
P(from|troops) = 8%	
P(for|troops) = 3%	
P(moved|troops) = 3%	
P(could|troops) = 3%	
P(of|troops) = 23%	
P(had|troops) = 5%	
P(retired,|troops) = 3%	
P(ranging|troops) = 3%	
P(deserted|troops) = 3%	
P(to|troops) = 10%	
P(as|troops) = 3%	
P(were|troops) = 5%	
P(through|troops) = 3%	
P(at|troops) = 8%	
P(in|troops) = 3%	
P(was|troops) = 3%	
P(into|troops) = 5%	
P(lay|troops) = 3%	
P(and|troops,) = 32%	
P(the|troops,) = 5%	
P(who|troops,) = 9%	
P(partly|troops,) = 5%	
P(went|troops,) = 5%	
P(attacked|troops,) = 5%	
P(with|troops,) = 5%	
P(in|troops,) = 5%	
P(took|troops,) = 9%	
P(opposed|troops,) = 5%	
P(elak|troops,) = 5%	
P(dispersed|troops,) = 5%	
P(was|troops,) = 5%	
P(attacking|troops,) = 5%	
P(saxons,|troops--alemannians,) = 100%	
P(the|troops.) = 40%	
P(corfu|troops.) = 20%	
P(faek,|troops.) = 20%	
P(it|troops.) = 20%	
P(on|trophies) = 100%	
P(and|trouble) = 17%	
P(of|trouble) = 17%	
P(himself|trouble) = 17%	
P(at|trouble) = 17%	
P(to|trouble) = 33%	
P(and|trouble,) = 50%	
P(fell|trouble,) = 50%	
P(the|trouble.) = 100%	
P(the|troubled) = 25%	
P(some|troubled) = 25%	
P(reign|troubled) = 25%	
P(in|troubled) = 25%	
P(of|troubles) = 100%	
P(but|troubles;) = 100%	
P(reign|troublesome) = 100%	
P(the|trouvor) = 100%	
P(that|trow) = 100%	
P((1128),|troyes) = 100%	
P(and|troyes,) = 50%	
P(for|troyes,) = 50%	
P(provided|truce) = 14%	
P(for|truce) = 29%	
P(to|truce) = 14%	
P(which|truce) = 14%	
P(or|truce) = 14%	
P(nor|truce) = 14%	
P(drawn|truck) = 100%	
P(it|trucks) = 100%	
P(and|true) = 3%	
P(origin|true) = 6%	
P(direction.|true) = 3%	
P(as|true) = 3%	
P(riches,|true) = 3%	
P(sense|true) = 3%	
P(facts|true) = 3%	
P(prophet,"|true) = 3%	
P(leaders,|true) = 3%	
P(caliph|true) = 3%	
P(knight,|true) = 3%	
P(religion."|true) = 3%	
P(character|true) = 3%	
P(king,"|true) = 3%	
P(their|true) = 3%	
P(parents|true) = 3%	
P(man,|true) = 3%	
P(to|true) = 3%	
P(that|true) = 6%	
P(god!'"|true) = 3%	
P(courage;|true) = 3%	
P(god,|true) = 6%	
P(imam,|true) = 3%	
P(riches|true) = 3%	
P(enemies.|true) = 3%	
P(so|true) = 3%	
P(succession|true) = 3%	
P(or|true) = 3%	
P(who|true,) = 14%	
P(besieged|true,) = 14%	
P(to|true,) = 14%	
P(as|true,) = 29%	
P(the|true,) = 14%	
P(however,|true,) = 14%	
P(when|truism,) = 100%	
P(wonderful,|truly) = 17%	
P(amid|truly) = 17%	
P(dead|truly) = 17%	
P(as|truly) = 17%	
P(the|truly) = 17%	
P(great.|truly) = 17%	
P(sounded,|trumpet) = 50%	
P(or|trumpet) = 50%	
P(sounded|trumpets) = 100%	
P(of|trumpets,) = 100%	
P(around|trunk) = 100%	
P(it|trunk!") = 100%	
P(and|trunks,) = 100%	
P(and|trust) = 20%	
P(is|trust) = 20%	
P(that|trust) = 20%	
P(in|trust) = 40%	
P(in|trust,) = 100%	
P(them,|trusted) = 100%	
P(in|trusting) = 100%	
P(and|trustworthy,) = 100%	
P(friends,|trusty) = 100%	
P(god|truth) = 10%	
P(is|truth) = 10%	
P(there|truth) = 10%	
P(to|truth) = 10%	
P(fell|truth) = 10%	
P(also.|truth) = 10%	
P(of|truth) = 40%	
P(a|truth,) = 17%	
P(and|truth,) = 17%	
P(that|truth,) = 17%	
P(is|truth,) = 17%	
P(invented|truth,) = 17%	
P(if|truth,) = 17%	
P(king,|truth-loving) = 100%	
P(having|truth.) = 100%	
P(and|truth;) = 100%	
P(of|truths) = 100%	
P(again;|try) = 33%	
P(to|try) = 33%	
P(that|try) = 33%	
P(when|tryggvason.) = 50%	
P(he|tryggvason.) = 50%	
P(to|trying) = 50%	
P(life|trying) = 50%	
P(for|tryst) = 100%	
P(arose.|tumult) = 33%	
P(of|tumult) = 33%	
P(at|tumult) = 33%	
P(moizz|tumult.) = 50%	
P(then,|tumult.) = 50%	
P(excited|tumults) = 100%	
P(that|tumults;) = 100%	
P(arab|tumultuous) = 50%	
P(youth;|tumultuous) = 50%	
P(dalmatica,|tunic,) = 100%	
P(people,|turanian) = 50%	
P(people|turanian) = 50%	
P(set|turban) = 100%	
P(two|turbans,) = 100%	
P(of|turbulence) = 67%	
P(in|turbulence) = 33%	
P(spirit|turbulent) = 100%	
P(who|turcomans,) = 100%	
P(and|turin,) = 100%	
P(shortly|turk) = 50%	
P(would|turk) = 50%	
P(in|turk.) = 100%	
P(but|turk;) = 100%	
P(stormed|turkey,) = 100%	
P(tribe|turkish) = 20%	
P(retainers|turkish) = 20%	
P(officer|turkish) = 20%	
P(governor|turkish) = 20%	
P(sultan|turkish) = 20%	
P(and|turks) = 6%	
P(shut|turks) = 6%	
P(within|turks) = 13%	
P(could|turks) = 6%	
P(in|turks) = 19%	
P(had|turks) = 6%	
P(fell.|turks) = 6%	
P(held|turks) = 6%	
P(were|turks) = 13%	
P(at|turks) = 6%	
P(enrolled|turks) = 6%	
P(gave|turks) = 6%	
P(afghans,|turks,) = 25%	
P(and|turks,) = 25%	
P(made|turks,) = 25%	
P(on|turks,) = 25%	
P(and|turmoil) = 50%	
P(of|turmoil) = 50%	
P(of|turmoils) = 100%	
P(at|turmuz) = 100%	
P(and|turmuz,) = 100%	
P(his|turn) = 8%	
P(to|turn) = 8%	
P(excommunicates|turn) = 8%	
P(imparted|turn) = 8%	
P(should|turn) = 8%	
P(looked|turn) = 8%	
P(their|turn) = 23%	
P(as|turn) = 8%	
P(also,|turn) = 8%	
P(the|turn) = 15%	
P(a|turn,) = 20%	
P(and|turn,) = 20%	
P(shrunk|turn,) = 20%	
P(to|turn,) = 20%	
P(dealt|turn,) = 20%	
P(a|turned) = 3%	
P(on|turned) = 3%	
P(round,|turned) = 3%	
P(his|turned) = 12%	
P(to|turned) = 21%	
P(into|turned) = 6%	
P(back|turned) = 3%	
P(against|turned) = 3%	
P(it|turned) = 6%	
P(inland|turned) = 3%	
P(their|turned) = 3%	
P(back,|turned) = 3%	
P(wrong,|turned) = 3%	
P(tail|turned) = 3%	
P(upside|turned) = 3%	
P(the|turned) = 9%	
P(toward|turned) = 6%	
P(out,|turned) = 3%	
P(by|turned) = 6%	
P(is|turned,) = 100%	
P(the|turning) = 25%	
P(his|turning) = 25%	
P(towards|turning) = 25%	
P(pale;|turning) = 25%	
P(of|turning-point) = 100%	
P(employed|turns) = 50%	
P(against|turns) = 50%	
P(beside|turri,) = 100%	
P(did|tuscany,) = 33%	
P(about|tuscany,) = 33%	
P(within|tuscany,) = 33%	
P(see|tuscany.) = 50%	
P(the|tuscany.) = 50%	
P(they|tuscany;) = 100%	
P(reascended|tusculan) = 100%	
P(horrors,|tusculum) = 33%	
P(tyranny.|tusculum) = 33%	
P(or|tusculum) = 33%	
P(and|tusculum,) = 50%	
P(was|tusculum,) = 50%	
P(to|tutor) = 100%	
P(by|tutored) = 100%	
P(and|tweed) = 100%	
P(century,|twelfth) = 21%	
P(century.|twelfth) = 14%	
P(century|twelfth) = 43%	
P(night;|twelfth) = 7%	
P(century--a|twelfth) = 7%	
P(night,|twelfth) = 7%	
P(and|twelfth;) = 100%	
P(leagues.]|twelve) = 7%	
P(different|twelve) = 7%	
P(years.|twelve) = 7%	
P(thousand|twelve) = 7%	
P(men|twelve) = 7%	
P(powerful|twelve) = 7%	
P(days|twelve) = 7%	
P(apostles,|twelve) = 7%	
P(captains|twelve) = 7%	
P(days,|twelve) = 7%	
P(sons|twelve) = 7%	
P(hides|twelve) = 7%	
P(hundred--with|twelve) = 7%	
P(king's|twelve) = 7%	
P(resources.|twentieth-century) = 100%	
P(beautiful|twenty) = 4%	
P(danish|twenty) = 4%	
P(pounds|twenty) = 4%	
P(manors.|twenty) = 4%	
P(shillings|twenty) = 4%	
P(ships|twenty) = 8%	
P(maunds|twenty) = 4%	
P(men|twenty) = 4%	
P(elephants,|twenty) = 4%	
P(years|twenty) = 8%	
P(five|twenty) = 4%	
P(mariners.|twenty) = 4%	
P(thousand,|twenty) = 4%	
P(acres,|twenty) = 4%	
P(_librates_,|twenty) = 4%	
P(burgesses|twenty) = 4%	
P(eventful|twenty) = 4%	
P(thousand|twenty) = 17%	
P(pounds.|twenty) = 4%	
P(houses|twenty-five) = 25%	
P(thousand|twenty-five) = 25%	
P(individuals|twenty-five) = 25%	
P(strong|twenty-five) = 25%	
P(thousand|twenty-four) = 100%	
P(pounds.|twenty-nine) = 100%	
P(men|twenty-one) = 100%	
P(houses|twenty-seven) = 50%	
P(years.|twenty-seven) = 50%	
P(miles.|twenty-six) = 100%	
P(alfred|twenty-three) = 100%	
P(years|twenty-two) = 33%	
P(years--who|twenty-two) = 33%	
P(manors.|twenty-two) = 33%	
P(despatched|twice) = 20%	
P(led|twice) = 20%	
P(carried|twice) = 20%	
P(defeated|twice) = 20%	
P(attacked|twice) = 20%	
P(accursed,|twilight!) = 100%	
P(leagues|two) = 1%	
P(bishops,|two) = 1%	
P(infant|two) = 1%	
P(years|two) = 2%	
P(attempts|two) = 1%	
P(kingdoms.|two) = 1%	
P(succeeding|two) = 1%	
P(principal|two) = 1%	
P(entrances|two) = 1%	
P(vikings|two) = 1%	
P(other|two) = 1%	
P(ought|two) = 1%	
P(centuries,|two) = 1%	
P(very|two) = 1%	
P(sons|two) = 2%	
P(nearly|two) = 1%	
P(words|two) = 1%	
P(schools|two) = 1%	
P(now|two) = 1%	
P(wings|two) = 1%	
P(states.|two) = 1%	
P(companies|two) = 1%	
P(episodes|two) = 1%	
P(accounts,|two) = 1%	
P(churches.|two) = 1%	
P(churches,|two) = 1%	
P(tribes|two) = 1%	
P(kings,|two) = 1%	
P(brothers,|two) = 1%	
P(shillings|two) = 1%	
P(monks|two) = 1%	
P(hundred,|two) = 1%	
P(martial|two) = 1%	
P(valiant|two) = 1%	
P(brothers|two) = 1%	
P(years;|two) = 1%	
P(communions,|two) = 1%	
P(years.|two) = 1%	
P(churches|two) = 1%	
P(learned|two) = 1%	
P(conditions|two) = 1%	
P(ends|two) = 1%	
P(men|two) = 1%	
P(bills,|two) = 1%	
P(days,|two) = 1%	
P(members|two) = 1%	
P(hours|two) = 1%	
P(great|two) = 1%	
P(persons|two) = 1%	
P(of|two) = 4%	
P(months|two) = 3%	
P(sons,|two) = 1%	
P(englishmen|two) = 1%	
P(allied|two) = 1%	
P(sons;|two) = 1%	
P(occupations:|two) = 1%	
P(relate|two) = 1%	
P(princes,|two) = 1%	
P(dying,|two) = 1%	
P(parties|two) = 1%	
P(kings|two) = 1%	
P(passes|two) = 1%	
P(tendencies,|two) = 1%	
P(inconsiderable|two) = 1%	
P(processions|two) = 1%	
P(long|two) = 1%	
P(peoples,|two) = 1%	
P(hundred|two) = 7%	
P(armies,|two) = 1%	
P(identical.|two) = 1%	
P(legates|two) = 1%	
P(thousand|two) = 2%	
P(hides,|two) = 1%	
P(sharply|two) = 1%	
P(branches|two) = 1%	
P(hands.|two) = 1%	
P(princes|two) = 1%	
P(roberts|two) = 1%	
P(classes|two) = 1%	
P(knights|two) = 1%	
P(horses|two) = 1%	
P(duties,|two) = 1%	
P(oxen|two) = 1%	
P(galleys|two) = 1%	
P(days|two) = 4%	
P(hides|two) = 1%	
P(sidrocs,|two) = 1%	
P(folio|two) = 1%	
P(documents|two) = 1%	
P(destroying|two) = 1%	
P(latter|two) = 1%	
P(facts:|two) = 1%	
P(parts|two) = 1%	
P(out|two) = 1%	
P(armies|two) = 3%	
P(buildings|two) = 1%	
P(kinds|two) = 1%	
P(centuries|two) = 1%	
P(halves,|two) = 1%	
P(chiefs|two) = 1%	
P(most|two) = 1%	
P(important|two) = 1%	
P(letters--one|two) = 1%	
P(courts,|two) = 1%	
P(knights,|two) = 1%	
P(natural|two) = 1%	
P(later|two) = 1%	
P(lines|two) = 1%	
P(volumes|two) = 1%	
P(bodies|two) = 1%	
P(laws|two) = 1%	
P(the|two,) = 100%	
P(engagement:|twofold) = 100%	
P(to|tyne) = 50%	
P(was|tyne) = 50%	
P(he|tyne,) = 100%	
P(and|type) = 33%	
P(of|type) = 67%	
P(similar|type,) = 100%	
P(the|type;) = 50%	
P(but|type;) = 50%	
P(of|types) = 100%	
P(act|typical) = 100%	
P(pressure.|tyrannical) = 100%	
P(the|tyrannies.) = 100%	
P(with|tyrannize) = 100%	
P(in|tyrannizing) = 100%	
P(of|tyranny) = 67%	
P(the|tyranny) = 33%	
P(which|tyranny,) = 100%	
P(nothing|tyranny.) = 25%	
P(the|tyranny.) = 25%	
P(when|tyranny.) = 25%	
P(in|tyranny.) = 25%	
P(of|tyrant) = 50%	
P(photius,|tyrant) = 50%	
P(and|tyrants,) = 100%	
P(the|tyrants;) = 100%	
P(and|tyre) = 50%	
P("the|tyre) = 50%	
P(and|tyre;) = 100%	
P(who|tyrker,) = 50%	
P(was|tyrker,) = 50%	
P(he|tyrol.) = 100%	
P(and|tyrolese) = 100%	
P(federal|u.s.) = 50%	
P(laws|u.s.) = 50%	
P(as|ubeda,) = 100%	
P(gualier,|ugin,) = 100%	
P(and|ugly) = 100%	
P(the|ulf) = 100%	
P(son,|ulf's) = 100%	
P(the|ulfilas,) = 100%	
P(test|ultimate) = 100%	
P(given|ultimately) = 33%	
P(merged|ultimately) = 33%	
P(imparted|ultimately) = 33%	
P(the|umbria,) = 100%	
P(at|umpires,) = 100%	
P(to|unable) = 100%	
P(part|unaltered) = 100%	
P(which|unanimity) = 100%	
P(oath,|unanimous) = 100%	
P(renounced|unanimously) = 50%	
P(elected|unanimously) = 50%	
P("anathema|unanimously:) = 100%	
P(and|unarmed) = 33%	
P(men|unarmed) = 33%	
P(truth;|unarmed) = 33%	
P(see|unavailing.) = 50%	
P(ogier,|unavailing.) = 50%	
P(henry|unavoidable.) = 100%	
P(turned|unawares) = 100%	
P(as|unawares,) = 100%	
P(hastings,|unawares.") = 100%	
P(the|unbeliever) = 50%	
P(in|unbeliever) = 50%	
P(for|unbelievers,) = 100%	
P(of|unbinding) = 100%	
P(integrity.|unblemished) = 50%	
P(in|unblemished) = 50%	
P(who|unborn,) = 100%	
P(wealth,|unbounded) = 100%	
P(will|unbridled) = 100%	
P(tradition.|unbroken) = 100%	
P(and|unbroken,) = 100%	
P(industry,|unceasing) = 100%	
P(existence|uncertain) = 33%	
P(are|uncertain) = 33%	
P(in|uncertain) = 33%	
P(and|uncertainty,) = 100%	
P(affection.|unchanging) = 100%	
P(the|unchecked) = 100%	
P(mode|unchristian) = 100%	
P(louis.|uncle) = 13%	
P(richard,|uncle) = 13%	
P(had|uncle) = 13%	
P(to|uncle) = 13%	
P(of|uncle) = 50%	
P(castle|uncle's) = 100%	
P(and|uncle,) = 50%	
P(charles|uncle,) = 50%	
P(but|uncle;) = 100%	
P(a|uncommon) = 50%	
P(friendship|uncommon) = 50%	
P(edward|uncommon;) = 100%	
P(surrender|unconditional) = 100%	
P(by|unconnected) = 100%	
P(he|unconnected,) = 100%	
P(also|unconsumed.") = 100%	
P(relics|uncorrupted) = 100%	
P(of|uncouthness) = 100%	
P(his|uncover) = 100%	
P(for|uncovered) = 100%	
P(had|unction) = 100%	
P(but|unction.) = 100%	
P(gorges|uncultivated) = 100%	
P(edric|undecided.) = 100%	
P(french|undefended) = 33%	
P(coast.|undefended) = 33%	
P(sea,|undefended) = 33%	
P(if|undefiled,) = 100%	
P(duke|under) = 2%	
P(arnulf,|under) = 1%	
P(leaders|under) = 1%	
P(it|under) = 1%	
P(an|under) = 1%	
P(plausible|under) = 1%	
P(guthrum,|under) = 1%	
P(guthrum.|under) = 1%	
P(hubba,|under) = 1%	
P(any|under) = 1%	
P(alfred's|under) = 1%	
P(constraint.|under) = 1%	
P(tancred,|under) = 1%	
P(harrows|under) = 1%	
P(her|under) = 1%	
P(their|under) = 2%	
P(bohemond|under) = 1%	
P(axes|under) = 1%	
P(three|under) = 1%	
P(him|under) = 1%	
P(him.|under) = 1%	
P(favor|under) = 1%	
P(him,|under) = 1%	
P(edward|under) = 1%	
P(mahmud|under) = 1%	
P(canute,[6]|under) = 1%	
P(godfrey|under) = 1%	
P(foot,|under) = 1%	
P(foot.|under) = 1%	
P(it,|under) = 1%	
P(his|under) = 6%	
P(which|under) = 2%	
P(that|under) = 1%	
P(consideration:|under) = 1%	
P(swabian|under) = 1%	
P(henry|under) = 1%	
P(different|under) = 1%	
P(ibn-ammar|under) = 1%	
P(repeated|under) = 1%	
P(five|under) = 1%	
P(god,|under) = 1%	
P(foot|under) = 1%	
P(such|under) = 2%	
P(one|under) = 2%	
P(pagan|under) = 1%	
P(gorm|under) = 1%	
P(circumstances|under) = 1%	
P(a|under) = 2%	
P(king|under) = 2%	
P(igor;|under) = 1%	
P(central|under) = 1%	
P(constraint|under) = 1%	
P(these|under) = 1%	
P(saws|under) = 1%	
P(sweyn's|under) = 1%	
P(pretence|under) = 1%	
P(whom|under) = 1%	
P(vladimir,|under) = 1%	
P(this|under) = 3%	
P(so|under) = 1%	
P(feudalism|under) = 1%	
P(each|under) = 1%	
P(stress|under) = 1%	
P(the|under) = 44%	
P(more|under) = 1%	
P(its|under) = 1%	
P(st.|under) = 1%	
P(to|under-tenants) = 100%	
P(many|undergo) = 33%	
P(repairs|undergo) = 33%	
P(once|undergo) = 33%	
P(and|undergrowth) = 100%	
P(but|underling,) = 100%	
P(its|undermined) = 100%	
P(as|undermined,) = 100%	
P(and|underneath) = 100%	
P(not|understand) = 20%	
P(the|understand) = 40%	
P(them|understand) = 20%	
P(what|understand) = 20%	
P(certain|understand,) = 50%	
P(agree|understand,) = 50%	
P(at|understand.) = 100%	
P(the|understand;) = 100%	
P(of|understanding) = 20%	
P(with|understanding) = 60%	
P(would|understanding) = 20%	
P(the|understood) = 33%	
P(by|understood) = 33%	
P(but|understood) = 33%	
P(the|undertake) = 25%	
P(so|undertake) = 25%	
P(another|undertake) = 25%	
P(that|undertake) = 25%	
P(with|undertaken) = 17%	
P(the|undertaken) = 33%	
P(was|undertaken) = 17%	
P(in|undertaken) = 33%	
P(and|undertaken,) = 100%	
P(this|undertakes) = 100%	
P(a|undertaking) = 20%	
P(of|undertaking) = 20%	
P(the|undertaking) = 20%	
P(to|undertaking) = 40%	
P(and|undertaking,) = 33%	
P(immoderate|undertaking,) = 33%	
P(which,|undertaking,) = 33%	
P("and|undertaking;) = 100%	
P(was|undertakings) = 100%	
P(of|undertakings,) = 100%	
P(a|undertook) = 20%	
P(to|undertook) = 10%	
P(the|undertook) = 40%	
P(it;|undertook) = 10%	
P(an|undertook) = 20%	
P(no|underwent) = 100%	
P(violence.|undiminished) = 100%	
P(souls|undisciplined) = 100%	
P(this|undisciplined.) = 100%	
P(through|undiscovered) = 100%	
P(sovereignty.|undivided) = 100%	
P(and|undoing) = 100%	
P(and|undone,) = 100%	
P(sherifs|undoubted) = 100%	
P(be|undoubtedly) = 14%	
P(did|undoubtedly) = 14%	
P(there|undoubtedly) = 14%	
P(held|undoubtedly) = 14%	
P(became|undoubtedly) = 14%	
P(have|undoubtedly) = 14%	
P(the|undoubtedly) = 14%	
P(of.|undreamed) = 100%	
P(of|unenforceability) = 100%	
P(rights.|unequal) = 100%	
P(it|unequal,) = 100%	
P(reign,|uneventful) = 100%	
P(quarter|unexpected) = 25%	
P(attack|unexpected) = 25%	
P(movement|unexpected) = 25%	
P(defeat|unexpected) = 25%	
P(gained|unexpectedly) = 33%	
P(upon|unexpectedly) = 33%	
P(in|unexpectedly) = 33%	
P(the|unexpectedly.) = 100%	
P(to|unfaithfulness) = 100%	
P(light|unfavorable) = 33%	
P(colors.|unfavorable) = 33%	
P(to|unfavorable) = 33%	
P(bread|unfermented) = 100%	
P(to|unfit) = 100%	
P(it,|unfolded) = 100%	
P(even|unforeseen) = 100%	
P(civil|unfortunate) = 20%	
P(monarch|unfortunate) = 20%	
P(issue|unfortunate) = 20%	
P(charlot|unfortunate) = 20%	
P(victory!|unfortunate) = 20%	
P(this|unfortunately) = 50%	
P(they|unfortunately) = 50%	
P(the|unfortunately,) = 50%	
P(they|unfortunately,) = 25%	
P(were|unfortunately,) = 25%	
P(with|unfrequently) = 100%	
P(the|ungodly,) = 100%	
P(excitement|ungovernable) = 100%	
P(clung.|unhappily) = 100%	
P(it|unhappily,) = 100%	
P(and|unhappy) = 14%	
P(country.|unhappy) = 14%	
P(schism|unhappy) = 14%	
P(victims.|unhappy) = 14%	
P(guests|unhappy) = 14%	
P(victim|unhappy) = 14%	
P(rivalry|unhappy) = 14%	
P(pleasures.|unholy) = 100%	
P(the|unhurt.) = 100%	
P(and|uniform) = 33%	
P(plain|uniform) = 33%	
P(feudal|uniform) = 33%	
P(were|uniformity) = 100%	
P(his|unify) = 100%	
P(country.|uninhabited) = 100%	
P(irregularities|unintelligible) = 50%	
P(in|unintelligible) = 50%	
P(eulogy;|unintentional) = 100%	
P(civil|uninterrupted) = 100%	
P(except|uninterrupted,) = 100%	
P(among|union) = 11%	
P(of|union) = 44%	
P(between|union) = 11%	
P(had|union) = 11%	
P(were|union) = 11%	
P(with|union) = 11%	
P(we|union,) = 50%	
P(confused|union,) = 50%	
P(specimen;|unique) = 100%	
P(of|unit) = 50%	
P(against|unit) = 50%	
P(and|unite) = 17%	
P(their|unite) = 33%	
P(the|unite) = 17%	
P(against|unite) = 17%	
P(in|unite) = 17%	
P(a|united) = 6%	
P(and|united) = 6%	
P(strength|united) = 6%	
P(states,|united) = 11%	
P(states.|united) = 11%	
P(us|united) = 6%	
P(states|united) = 22%	
P(forces|united) = 6%	
P(under|united) = 6%	
P(almoravides,|united) = 6%	
P(with|united) = 17%	
P(we|united,) = 100%	
P(the|unites) = 100%	
P(the|uniting) = 33%	
P(themselves|uniting) = 33%	
P(in|uniting) = 33%	
P(and|unity) = 20%	
P(and,|unity) = 7%	
P(of|unity) = 53%	
P(they|unity) = 7%	
P(with|unity) = 7%	
P(by|unity) = 7%	
P(he|unity.) = 100%	
P(turmoil|universal) = 6%	
P(throughout|universal) = 6%	
P(love|universal) = 6%	
P(outcry,|universal) = 6%	
P(terror,|universal) = 6%	
P(favorite.|universal) = 6%	
P(when|universal) = 6%	
P(assimilation|universal) = 6%	
P(hostility.|universal) = 6%	
P(chronology|universal) = 6%	
P(society|universal) = 6%	
P(agents|universal) = 6%	
P(in|universal) = 6%	
P(bishop,|universal) = 6%	
P(history|universal) = 6%	
P(chivalric|universal) = 6%	
P(admiration,|universal) = 6%	
P(adopted;|universally) = 25%	
P(devoid|universally) = 25%	
P(known|universally) = 25%	
P(recognized|universally) = 25%	
P(and|universally;) = 100%	
P(was|universe) = 100%	
P(the|universe.) = 100%	
P(become|universities) = 100%	
P(of|university) = 100%	
P(exaction."|unjust) = 50%	
P(in|unjust) = 50%	
P(shed?|unjustly) = 50%	
P(banished|unjustly) = 50%	
P(hordes,|unknown) = 17%	
P(seas|unknown) = 17%	
P(to|unknown) = 33%	
P(for|unknown) = 17%	
P(author|unknown) = 17%	
P(and|unknown,) = 100%	
P(but|unknown;) = 100%	
P(bread;|unleavened) = 20%	
P(bread|unleavened) = 80%	
P(a|unless) = 8%	
P(effected|unless) = 8%	
P(they|unless) = 8%	
P(it|unless) = 8%	
P(alfred|unless) = 8%	
P(the|unless) = 17%	
P(you|unless) = 33%	
P(he|unless) = 8%	
P(as|unless,) = 100%	
P(most|unlike) = 50%	
P(the|unlike) = 50%	
P(authority|unlimited) = 100%	
P(or|unlink) = 100%	
P(by|unlit) = 100%	
P(the|unload) = 100%	
P(force|unmatched) = 100%	
P(ceremony,|unmeaning) = 100%	
P(sojourn|unmolested) = 100%	
P(at|unmolested,) = 100%	
P(to|unnecessary) = 100%	
P(in|unnumbered) = 100%	
P(parts|unplundered) = 50%	
P(country.|unplundered) = 50%	
P(goes|unplundered,) = 100%	
P(both|unpopular) = 50%	
P(government|unpopular) = 50%	
P(of|unpopularity) = 100%	
P(thus|unprecedented,) = 50%	
P(which|unprecedented,) = 50%	
P(guards,|unprepared) = 33%	
P(for|unprepared) = 33%	
P(to|unprepared) = 33%	
P(and|unprogressive) = 100%	
P(he|unpropitious) = 100%	
P(the|unquestionably) = 100%	
P(be|unquestionably,) = 100%	
P(for|unquestioned) = 100%	
P(succeeds.|unready) = 100%	
P(to|unreasonable) = 100%	
P(it|unreasonable.) = 100%	
P(they|unreasonable;) = 100%	
P(perhaps,|unreasonably,) = 100%	
P(but|unreclaimed.) = 100%	
P(of|unrecognized) = 100%	
P(a|unresistingly,) = 100%	
P(passions|unrestrained) = 100%	
P(reestablishment|unrestricted) = 50%	
P(power|unrestricted) = 50%	
P(judgments."|unrighteous) = 100%	
P(roads.|unsafe) = 100%	
P(popes|unsaintly) = 100%	
P(as|unsatisfactory) = 50%	
P(nature|unsatisfactory) = 50%	
P(churchman|unscrupulous) = 100%	
P(indulging|unscrupulous;) = 100%	
P(danger,|unseen) = 100%	
P(state.|unsettled) = 25%	
P(by|unsettled) = 25%	
P(government|unsettled) = 50%	
P(license.|unshackled) = 100%	
P(when|unshaken.) = 100%	
P(the|unsheathed.) = 100%	
P(donations|unsolicited) = 100%	
P(his|unstrung) = 100%	
P(siege|unsuccessful) = 33%	
P(sieges|unsuccessful) = 33%	
P(attempt|unsuccessful) = 33%	
P(violence.|unsuitable) = 100%	
P(the|unsullied.) = 100%	
P(matron,|unsuspecting) = 100%	
P(journeying|unsuspiciously) = 100%	
P(arrangements|unsystematic) = 100%	
P(a|until) = 4%	
P(we|until) = 2%	
P(within|until) = 2%	
P(heads|until) = 2%	
P(darkness|until) = 2%	
P(a.h.|until) = 2%	
P(i|until) = 2%	
P(some|until) = 2%	
P(1147,|until) = 2%	
P(that|until) = 2%	
P(nightfall,|until) = 2%	
P(it|until) = 2%	
P(1517,|until) = 2%	
P(at|until) = 2%	
P(1860,|until) = 2%	
P(in|until) = 2%	
P(the|until) = 45%	
P(they|until) = 11%	
P(by|until) = 2%	
P(he|until) = 6%	
P(with|until,) = 100%	
P(us,|unto) = 14%	
P(some|unto) = 14%	
P(david|unto) = 14%	
P(death,|unto) = 14%	
P(you|unto) = 14%	
P(its|unto) = 14%	
P(me;|unto) = 14%	
P(in|untouched) = 100%	
P(minds|untrained) = 100%	
P(that|untruth) = 100%	
P(says|untruthlike,") = 100%	
P(condition.|unused) = 100%	
P(delay|unusual) = 100%	
P(olaus,|unwarlike) = 100%	
P(visitors|unwelcome) = 100%	
P(to|unwilling) = 67%	
P(that|unwilling) = 33%	
P(he|unwilling,") = 100%	
P(given,|unwillingly) = 100%	
P(of|unwillingness) = 50%	
P(on|unwillingness) = 50%	
P(measures|unwise) = 100%	
P(adopted|unwisely) = 100%	
P(action|unworthy) = 17%	
P(and|unworthy) = 17%	
P(of|unworthy) = 17%	
P(to|unworthy) = 33%	
P(candidates.|unworthy) = 17%	
P(and|up) = 7%	
P(among|up) = 1%	
P(all|up) = 2%	
P(constant|up) = 1%	
P(prayers|up) = 1%	
P(certain|up) = 1%	
P(into|up) = 1%	
